testid,duration,top_n_beacons,algorithm,building,floor_true,x_true,y_true,floor_est,x_est,y_est,error,floor_error
"Test86285",10,3,2,"SB",1,9.0204,43.572864,1,9.448623664147217,35.55957292227488,8.02472488019899,0
"Test70090",5,3,2,"SB",1,9.0204,43.572864,1,7.4150669373928535,47.09507229184225,3.870793909913304,0
"Test3998",3,3,2,"SB",1,9.0204,43.572864,1,13.534672118721367,57.81197902806439,14.937571741896816,0
"Test18232",2,3,2,"SB",1,9.0204,43.572864,1,11.228992790498436,53.75296518317059,10.41692575637519,0
"Test96255",2,3,2,"SB",1,13.193462,30.636797,1,13.15395508800581,33.41058293505997,2.7740672684042513,0
"Test70001",3,3,2,"SB",1,13.193462,30.636797,1,13.010521347257468,30.482113159328,0.23957122738531117,0
"Test73394",5,3,2,"SB",1,13.193462,30.636797,1,12.320903384001527,30.15576217372835,0.9963699325247478,0
"Test18722",10,3,2,"SB",1,13.193462,30.636797,1,12.630654585318968,28.205260595219706,2.4958208016185446,0
"Test78829",10,3,2,"SB",1,13.360384,38.708017,1,13.3116723540009,35.427748427850545,3.2806302336422113,0
"Test35814",5,3,2,"SB",1,13.360384,38.708017,1,11.354293807462298,30.855934658025667,8.104294846915495,0
"Test79905",3,3,2,"SB",1,13.360384,38.708017,1,13.3116723540009,35.427748427850545,3.2806302336422113,0
"Test81865",2,3,2,"SB",1,13.360384,38.708017,1,16.823018405603253,26.842072712779338,12.360844261388136,0
"Test77046",2,3,2,"SB",1,4.34657,33.732607,1,4.277055370086572,29.96963076606021,3.7636182618549,0
"Test12112",3,3,2,"SB",1,4.34657,33.732607,1,12.630654521725669,28.205260479977788,9.958795906910456,0
"Test86088",5,3,2,"SB",1,4.34657,33.732607,1,11.16241130376693,25.99405206341086,10.312173640156738,0
"Test60907",10,3,2,"SB",1,4.34657,33.732607,1,4.277055370086572,29.96963076606021,3.7636182618549,0
"Test6310",10,3,2,"SB",1,7.017329,22.344446,1,10.949821899522055,17.508057043523237,6.233390613712715,0
"Test15800",5,3,2,"SB",1,7.017329,22.344446,1,9.296599922250417,17.431983267282735,5.415474682551129,0
"Test35577",3,3,2,"SB",1,7.017329,22.344446,1,9.361577198983348,18.058487937651698,4.8851751381752,0
"Test121",2,3,2,"SB",1,7.017329,22.344446,1,12.459094004189824,24.83414919913301,5.984265066037617,0
"Test61358",2,3,2,"SB",1,13.69423,19.690895,1,16.08958516667371,7.970783509103443,11.962388546337893,0
"Test77857",3,3,2,"SB",1,13.69423,19.690895,1,13.159479885624119,13.29972940218764,6.413497905471338,0
"Test88279",5,3,2,"SB",1,13.69423,19.690895,1,10.949821970045308,17.508057021338793,3.50664470341173,0
"Test36167",10,3,2,"SB",1,13.69423,19.690895,1,16.782283333029504,20.5696217129406,3.210643864347153,0
"Test12418",10,3,3,"AM",1,3.594801226538799,56.88285995825111,1,3.3133544277604186,60.58621580333916,3.7140351123663877,0
"Test16545",10,3,3,"AM",1,4.308557968378728,49.750827094942125,1,4.785964744201643,45.72483416857231,4.054199831382443,0
"Test70565",5,3,3,"AM",1,4.308557968378728,49.51309274392676,1,14.758215294339507,38.00851273401269,15.541901409882906,0
"Test50294",5,3,3,"AM",1,7.877342455798169,41.19239045838931,1,10.48649497122077,35.61117254050648,6.160979653888857,0
"Test40075",10,3,3,"AM",1,7.639423541851525,40.716921756358595,1,6.660994723543265,40.582625637663114,0.9876023491227477,0
"Test79839",5,3,3,"AM",1,5.260234013275198,37.3886377316792,1,9.034755200613361,33.03872109042748,5.759234756415414,0
"Test84117",5,3,3,"AM",1,5.260234013275198,31.445280511527507,1,9.183557007948384,30.516790545143525,4.031694053150251,0
"Test8205",10,3,3,"AM",1,5.260234013275198,31.68301330731065,1,9.183557072783772,30.51679053904413,4.092986608149963,0
"Test70869",10,3,3,"AM",1,1.6914495258557574,62.58848554904381,1,7.6106120546019564,65.77916402229008,6.724352322815203,0
"Test79992",10,3,3,"AM",1,1.2156115034075219,66.39223574850158,1,4.111092279069403,68.50159354115148,3.582345491384157,0
"Test37993",5,3,3,"AM",1,9.304855939478026,59.497938597036125,1,13.882451502330758,63.234363630891394,5.9089130278477935,0
"Test34350",5,3,3,"AM",1,0.26393565306600075,11.951057507339483,1,0.42549844745267723,15.261159379709959,3.314042386874459,0
"Test66732",5,3,3,"AM",1,6.687747886064955,9.335978090938358,1,4.109920233427959,14.034232531641866,5.358991527917374,0
"Test67062",5,3,3,"AM",1,6.449828972118311,15.517074327802032,1,15.260842429685228,12.984059956424415,9.167885249883467,0
"Test92679",5,3,3,"AM",1,14.06323499663068,9.573717107650348,1,11.38409495771752,10.386152064988766,2.799614599907116,0
"Test85276",5,3,3,"AM",1,16.44242569253671,14.328404127957462,1,19.13158269313079,30.59205305461819,16.48447274812018,0
"Test44416",5,3,3,"AM",1,12.635721512950822,13.37746672389604,1,19.234958191242022,17.980498446806287,8.045981964820824,0
"Test96786",5,3,3,"SB",1,0.841197,33.400914,1,7.75844233383655,34.30257808262563,6.975763838202999,0
"Test23667",5,3,3,"SB",1,15.864222,17.811294,1,16.078580522486533,20.919575960317072,3.1156646676102917,0
"Test54312",5,3,3,"AM",1,3.441853,57.477196,1,14.758215294339507,38.00851273401269,22.518651906543678,0
"Test67455",5,3,3,"AM",1,3.936385,57.477196,1,15.657972351111367,68.35175042784803,15.989107043045376,0
"FAKE_TEST",5,3,3,"Building",1,1234.0,1234.0,1,23.08175913522052,15.148737952940465,1718.115649498823,0
"FAKE_TEST_2",5,3,3,"SB",1,0.0,0.0,1,23.08175913522052,15.148737952940465,27.60890918423245,0
"FAKE_TEST_3",5,3,3,"SB",1,0.0,0.0,1,23.081758878516002,15.148738226704893,27.60890911983272,0
"Test37317",3,3,3,"SB",1,15.6973,18.69581,1,8.666817801119173,22.351913854476514,7.924315449519801,0
"Test30680",5,3,3,"SB",1,15.6973,18.69581,1,15.994952424385467,14.330123616045302,4.375821587860959,0
"Test3673",10,3,3,"SB",1,15.6973,18.69581,1,16.078580424268893,20.919575847964303,2.256215705224803,0
"Test97265",10,3,3,"SB",1,12.859617,8.579143,1,10.47691346066496,7.495648389096944,2.617486719778286,0
"Test5444",5,3,3,"SB",1,12.859617,8.579143,1,15.994952433989758,14.330123474107795,6.550122494824113,0
"Test57831",3,3,3,"SB",1,12.859617,8.579143,1,10.47691346066496,7.495648389096944,2.617486719778286,0
"Test48762",2,3,3,"SB",1,4.680414,8.579143,1,15.994952433989758,14.330123474107795,12.69222424903533,0
"Test62912",3,3,3,"SB",1,4.680414,8.579143,1,15.994952472921863,14.330123670713599,12.69222437282569,0
"Test43488",2,3,3,"SB",1,4.012724,0.618484,1,18.756035171806626,17.747388383419757,22.600101541476636,0
"Test82603",3,3,3,"SB",1,4.012724,0.618484,1,15.994952472921863,14.330123670713599,18.209416839558216,0
"Test11881",5,3,3,"SB",1,4.012724,0.618484,1,15.994952433989758,14.330123474107795,18.20941666589635,0
"Test50448",10,3,3,"SB",1,4.012724,0.618484,1,15.994952433989758,14.330123474107795,18.20941666589635,0
"Test56319",10,3,3,"SB",1,28.717257,9.90592,1,29.260088155549955,9.091745708045416,0.9785425085888952,0
"Test12599",5,3,3,"SB",1,28.717257,9.90592,1,23.08175908323646,15.148738297867789,7.697141058490711,0
"Test81912",3,3,3,"SB",1,28.717257,9.90592,1,29.260088161893847,9.09174570737634,0.9785425126647597,0
"Test62385",2,3,3,"SB",1,28.717257,9.90592,1,29.260044312575484,9.092149324441742,0.9781823853921416,0
"Test94942",2,3,3,"SB",1,27.548798,34.119584,1,19.990325624653543,18.17873439264669,17.642029102490785,0
"Test12935",3,3,3,"SB",1,27.548798,34.119584,1,29.383763908698217,27.177217804388665,7.180776300655224,0
"Test57257",5,3,3,"SB",1,27.548798,34.119584,1,23.124473031235546,26.64832248197753,8.682994880795224,0
"Test8527",10,3,3,"SB",1,27.548798,34.119584,1,29.383763872313573,27.17721779085374,7.180776304443092,0
"Test13139",10,3,3,"SB",1,28.550332,53.800097,1,28.313000794500137,54.19307750199664,0.45908580467440857,0
"Test13177",5,3,3,"SB",1,28.550332,53.800097,1,22.216557302291697,51.9015999641514,6.612185184676533,0
"Test52854",3,3,3,"SB",1,28.550332,53.800097,1,28.276238312118416,34.87606893290362,18.926012935480838,0
"Test79360",2,3,3,"SB",1,28.550332,53.800097,1,29.466409160355326,41.58620070990059,12.248202314994185,0
"Test37077",2,3,3,"SB",1,24.210347,54.795178,1,27.71567818281454,55.136051147099835,3.5218661535648583,0
"Test13666",3,3,3,"SB",1,24.210347,54.795178,1,13.857069087266266,56.60516802452418,10.510301015060282,0
"Test52481",5,3,3,"SB",1,24.210347,54.795178,1,28.313000794500137,54.19307750199664,4.14660019380001,0
"Test30022",10,3,3,"SB",1,24.210347,54.795178,1,28.31300081233402,54.193077462323906,4.146600217205504,0
"Test37479",10,3,3,"SB",1,18.534983,49.156381,1,22.261934683127215,46.99101849766962,4.310332193098726,0
