testid,beacon_major,beacon_minor,b_building,b_floor,b_x,b_y,rssi,duration,building,floor_true,x_true,y_true,floor_est,x_est,y_est,error,floor_error
"318",101,181,"Building",2,25.9957380122,37.1919604126,-95.0,10,"Building",0,31.3000519989,33.8670601127,0,27.506516256626558,35.40515861730149,4.09349000704331,0
"318",101,195,"Building",2,28.2514109496,43.2173130662,-95.3271576523,10,"Building",0,31.3000519989,33.8670601127,0,27.506516256626558,35.40515861730149,4.09349000704331,0
"318",101,146,"Building",0,9.42472360737,32.3956255105,-96.5548953255,10,"Building",0,31.3000519989,33.8670601127,0,27.506516256626558,35.40515861730149,4.09349000704331,0
"321",101,132,"Building",0,28.0535479633,32.9778441801,-56.1162070716,10,"Building",0,22.9716988027,27.5439314627,0,28.035434032955944,29.93192332658346,5.598564068054308,0
"321",101,188,"Building",0,27.822657033,26.8867671999,-57.2375080124,10,"Building",0,22.9716988027,27.5439314627,0,28.035434032955944,29.93192332658346,5.598564068054308,0
"321",101,128,"Building",0,26.2308298789,29.7590456408,-64.7667580088,10,"Building",0,22.9716988027,27.5439314627,0,28.035434032955944,29.93192332658346,5.598564068054308,0
"321",101,118,"Building",0,26.1194933615,37.0533749589,-66.218945743,10,"Building",0,22.9716988027,27.5439314627,0,28.035434032955944,29.93192332658346,5.598564068054308,0
"321",101,180,"Building",0,27.1626309726,22.5783486241,-68.8562195602,10,"Building",0,22.9716988027,27.5439314627,0,28.035434032955944,29.93192332658346,5.598564068054308,0
"321",101,190,"Building",0,27.7450070104,37.6772194926,-70.9849319411,10,"Building",0,22.9716988027,27.5439314627,0,28.035434032955944,29.93192332658346,5.598564068054308,0
"321",101,143,"Building",0,18.2699028907,24.7526442618,-71.3693829688,10,"Building",0,22.9716988027,27.5439314627,0,28.035434032955944,29.93192332658346,5.598564068054308,0
"321",101,186,"Building",0,8.22114748052,26.6898825301,-74.2877541121,10,"Building",0,22.9716988027,27.5439314627,0,28.035434032955944,29.93192332658346,5.598564068054308,0
"321",101,179,"Building",0,13.2226465783,22.6178422904,-75.2055812761,10,"Building",0,22.9716988027,27.5439314627,0,28.035434032955944,29.93192332658346,5.598564068054308,0
"321",101,141,"Building",0,22.392288987,35.1902750515,-78.2046126696,10,"Building",0,22.9716988027,27.5439314627,0,28.035434032955944,29.93192332658346,5.598564068054308,0
"321",101,197,"Building",0,9.02954197705,21.6862928396,-78.4709120924,10,"Building",0,22.9716988027,27.5439314627,0,28.035434032955944,29.93192332658346,5.598564068054308,0
"321",101,156,"Building",2,24.3411640007,31.8285761878,-81.9823366989,10,"Building",0,22.9716988027,27.5439314627,0,28.035434032955944,29.93192332658346,5.598564068054308,0
"321",101,139,"Building",0,7.71642155667,30.416081979,-82.1873711428,10,"Building",0,22.9716988027,27.5439314627,0,28.035434032955944,29.93192332658346,5.598564068054308,0
